Plantation year,Plot,height (cm),canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB       (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,9,125,37,26,0.078,0.32,0.134,0.009,0.123,0.008,0.257,0.017,0.064,0.004,0.048,0.003,0.112,0.007,153.938
2017,1_new,124,57,62,0.278,0.6,0.522,0.208,0.482,0.192,1.003,0.399,0.25,0.1,0.188,0.075,0.438,0.174,25.133
2010,2,124,104,132,1.094,1.18,2.259,0.147,2.085,0.135,4.343,0.282,1.084,0.07,0.813,0.053,1.897,0.123,153.938
2017,8,124,87,73,0.503,0.8,0.983,0.064,0.907,0.059,1.891,0.123,0.472,0.031,0.354,0.023,0.826,0.054,153.938
2017,14,124,70,65,0.358,0.68,0.683,0.044,0.631,0.041,1.314,0.085,0.328,0.021,0.246,0.016,0.574,0.037,153.938
2017,19,124,76,59,0.358,0.68,0.683,0.044,0.631,0.041,1.314,0.085,0.328,0.021,0.246,0.016,0.574,0.037,153.938
2017,19,124,63,50,0.251,0.57,0.467,0.03,0.431,0.028,0.898,0.058,0.224,0.015,0.168,0.011,0.392,0.025,153.938
2017,16,124,55,51,0.221,0.53,0.407,0.026,0.376,0.024,0.783,0.051,0.196,0.013,0.147,0.01,0.342,0.022,153.938
2017,16,124,64,37,0.2,0.51,0.367,0.024,0.339,0.022,0.706,0.046,0.176,0.011,0.132,0.009,0.309,0.02,153.938
2017,14,124,59,39,0.189,0.49,0.344,0.022,0.318,0.021,0.662,0.043,0.165,0.011,0.124,0.008,0.289,0.019,153.938
2017,17,124,31,47,0.119,0.39,0.211,0.014,0.195,0.013,0.406,0.026,0.101,0.007,0.076,0.005,0.177,0.012,153.938
2017,19,124,44,25,0.093,0.35,0.163,0.011,0.15,0.01,0.313,0.02,0.078,0.005,0.059,0.004,0.137,0.009,153.938
2017,19,124,39,30,0.093,0.35,0.163,0.011,0.15,0.01,0.313,0.02,0.078,0.005,0.059,0.004,0.137,0.009,153.938
2017,1_new,123,64,103,0.548,0.84,1.077,0.429,0.995,0.396,2.072,0.824,0.517,0.206,0.388,0.154,0.905,0.36,25.133
2017,1_new,123,86,68,0.466,0.77,0.906,0.36,0.836,0.333,1.742,0.693,0.435,0.173,0.326,0.13,0.761,0.303,25.133
2010,5,123,123,81,0.817,1.02,1.654,0.107,1.526,0.099,3.18,0.207,0.794,0.052,0.595,0.039,1.389,0.09,153.938
2010,7,123,102,77,0.629,0.9,1.25,0.081,1.154,0.075,2.404,0.156,0.6,0.039,0.45,0.029,1.05,0.068,153.938
2017,12,123,93,81,0.594,0.87,1.176,0.076,1.086,0.071,2.262,0.147,0.565,0.037,0.423,0.028,0.988,0.064,153.938
2017,8,123,73,71,0.407,0.72,0.785,0.051,0.724,0.047,1.509,0.098,0.377,0.024,0.282,0.018,0.659,0.043,153.938
2017,9,123,60,67,0.317,0.64,0.6,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,17,123,81,46,0.317,0.64,0.6,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,8,123,59,65,0.302,0.62,0.57,0.037,0.526,0.034,1.096,0.071,0.274,0.018,0.205,0.013,0.479,0.031,153.938
2017,19,123,69,50,0.278,0.6,0.522,0.034,0.482,0.031,1.003,0.065,0.25,0.016,0.188,0.012,0.438,0.028,153.938
2017,20,123,50,35,0.142,0.43,0.254,0.033,0.234,0.03,0.488,0.063,0.122,0.016,0.091,0.012,0.213,0.028,76.969
2017,19,123,61,55,0.264,0.58,0.494,0.032,0.456,0.03,0.95,0.062,0.237,0.015,0.178,0.012,0.415,0.027,153.938
2017,16,123,59,45,0.212,0.52,0.391,0.025,0.361,0.023,0.752,0.049,0.188,0.012,0.141,0.009,0.328,0.021,153.938
2010,2,123,57,43,0.196,0.5,0.36,0.023,0.332,0.022,0.691,0.045,0.173,0.011,0.129,0.008,0.302,0.02,153.938
2017,9,123,56,44,0.196,0.5,0.36,0.023,0.332,0.022,0.691,0.045,0.173,0.011,0.129,0.008,0.302,0.02,153.938
2017,8,123,50,45,0.177,0.48,0.322,0.021,0.297,0.019,0.62,0.04,0.155,0.01,0.116,0.008,0.271,0.018,153.938
2017,16,123,57,30,0.149,0.44,0.267,0.017,0.246,0.016,0.513,0.033,0.128,0.008,0.096,0.006,0.224,0.015,153.938
2017,12,123,50,28,0.119,0.39,0.211,0.014,0.195,0.013,0.406,0.026,0.101,0.007,0.076,0.005,0.177,0.012,153.938
2017,35,122,239,216,4.065,2.28,9.203,0.598,8.495,0.552,17.698,1.15,4.418,0.287,3.313,0.215,7.73,0.502,153.938
2017,2_new,122,95,83,0.622,0.89,1.235,0.491,1.14,0.454,2.375,0.945,0.593,0.236,0.445,0.177,1.037,0.413,25.133
2017,30,122,119,89,0.849,1.04,1.724,0.224,1.591,0.207,3.315,0.431,0.827,0.107,0.62,0.081,1.448,0.188,76.969
2010,7,122,101,124,0.994,1.13,2.039,0.132,1.882,0.122,3.921,0.255,0.979,0.064,0.734,0.048,1.713,0.111,153.938
2017,9,122,98,103,0.793,1.01,1.602,0.104,1.479,0.096,3.08,0.2,0.769,0.05,0.577,0.037,1.346,0.087,153.938
2017,14,122,99,93,0.724,0.96,1.452,0.094,1.34,0.087,2.793,0.181,0.697,0.045,0.523,0.034,1.22,0.079,153.938
2017,14,122,92,74,0.541,0.83,1.064,0.069,0.982,0.064,2.046,0.133,0.511,0.033,0.383,0.025,0.893,0.058,153.938
2017,9,122,97,67,0.528,0.82,1.036,0.067,0.957,0.062,1.993,0.129,0.498,0.032,0.373,0.024,0.871,0.057,153.938
2017,9,122,83,76,0.496,0.8,0.97,0.063,0.895,0.058,1.865,0.121,0.466,0.03,0.349,0.023,0.815,0.053,153.938
2017,14,122,90,57,0.424,0.74,0.82,0.053,0.757,0.049,1.577,0.102,0.394,0.026,0.295,0.019,0.689,0.045,153.938
2017,17,122,80,64,0.407,0.72,0.785,0.051,0.724,0.047,1.509,0.098,0.377,0.024,0.282,0.018,0.659,0.043,153.938
2010,2,122,71,70,0.39,0.71,0.75,0.049,0.692,0.045,1.442,0.094,0.36,0.023,0.27,0.018,0.63,0.041,153.938
2017,19,122,90,50,0.385,0.7,0.739,0.048,0.682,0.044,1.421,0.092,0.355,0.023,0.266,0.017,0.621,0.04,153.938
2017,16,122,56,72,0.322,0.64,0.61,0.04,0.563,0.037,1.173,0.076,0.293,0.019,0.22,0.014,0.512,0.033,153.938
2017,8,122,79,44,0.297,0.62,0.56,0.036,0.517,0.034,1.077,0.07,0.269,0.017,0.202,0.013,0.47,0.031,153.938
2017,12,122,70,50,0.283,0.6,0.531,0.035,0.49,0.032,1.021,0.066,0.255,0.017,0.191,0.012,0.446,0.029,153.938
2017,14,122,68,47,0.26,0.58,0.485,0.032,0.448,0.029,0.933,0.061,0.233,0.015,0.175,0.011,0.407,0.026,153.938
2017,9,122,63,47,0.238,0.55,0.441,0.029,0.407,0.026,0.848,0.055,0.212,0.014,0.159,0.01,0.37,0.024,153.938
2017,9,122,59,43,0.204,0.51,0.375,0.024,0.346,0.022,0.721,0.047,0.18,0.012,0.135,0.009,0.315,0.02,153.938
2017,9,122,65,35,0.196,0.5,0.36,0.023,0.332,0.022,0.691,0.045,0.173,0.011,0.129,0.008,0.302,0.02,153.938
2017,19,122,45,52,0.185,0.49,0.337,0.022,0.311,0.02,0.648,0.042,0.162,0.011,0.121,0.008,0.283,0.018,153.938
2017,16,122,45,46,0.163,0.46,0.294,0.019,0.271,0.018,0.565,0.037,0.141,0.009,0.106,0.007,0.247,0.016,153.938
2017,16,122,35,40,0.11,0.38,0.194,0.013,0.179,0.012,0.374,0.024,0.093,0.006,0.07,0.005,0.163,0.011,153.938
2017,19,122,44,30,0.108,0.37,0.189,0.012,0.174,0.011,0.363,0.024,0.091,0.006,0.068,0.004,0.159,0.01,153.938
2017,18,122,25,12,0.027,0.19,0.043,0.006,0.04,0.005,0.082,0.011,0.021,0.003,0.015,0.002,0.036,0.005,76.969
2010,1,121,137,139,1.496,1.38,3.157,0.205,2.914,0.189,6.072,0.394,1.516,0.098,1.137,0.074,2.652,0.172,153.938
2017,23,121,117,159,1.496,1.38,3.157,0.205,2.914,0.189,6.072,0.394,1.516,0.098,1.137,0.074,2.652,0.172,153.938
2017,1_new,121,63,54,0.269,0.59,0.503,0.2,0.464,0.185,0.968,0.385,0.242,0.096,0.181,0.072,0.423,0.168,25.133
2010,4,121,141,115,1.287,1.28,2.688,0.175,2.481,0.161,5.169,0.336,1.29,0.084,0.968,0.063,2.258,0.147,153.938
2017,30,121,113,65,0.622,0.89,1.235,0.16,1.14,0.148,2.375,0.309,0.593,0.077,0.445,0.058,1.037,0.135,76.969
2017,1_new,121,50,55,0.216,0.53,0.399,0.159,0.368,0.147,0.768,0.305,0.192,0.076,0.144,0.057,0.335,0.133,25.133
2010,1,121,119,110,1.03,1.15,2.118,0.138,1.955,0.127,4.072,0.265,1.016,0.066,0.762,0.05,1.779,0.116,153.938
2010,1,121,126,99,0.994,1.13,2.039,0.132,1.882,0.122,3.921,0.255,0.979,0.064,0.734,0.048,1.713,0.111,153.938
2010,1,121,104,109,0.891,1.07,1.814,0.118,1.674,0.109,3.487,0.227,0.871,0.057,0.653,0.042,1.523,0.099,153.938
2017,1_new,121,48,37,0.142,0.43,0.254,0.101,0.234,0.093,0.488,0.194,0.122,0.049,0.091,0.036,0.213,0.085,25.133
2010,1,121,96,77,0.588,0.87,1.162,0.075,1.073,0.07,2.235,0.145,0.558,0.036,0.418,0.027,0.976,0.063,153.938
2017,14,121,88,79,0.548,0.84,1.077,0.07,0.995,0.065,2.072,0.135,0.517,0.034,0.388,0.025,0.905,0.059,153.938
2017,17,121,99,67,0.541,0.83,1.064,0.069,0.982,0.064,2.046,0.133,0.511,0.033,0.383,0.025,0.893,0.058,153.938
2017,27,121,67,99,0.541,0.83,1.064,0.069,0.982,0.064,2.046,0.133,0.511,0.033,0.383,0.025,0.893,0.058,153.938
2017,14,121,74,85,0.496,0.8,0.97,0.063,0.895,0.058,1.865,0.121,0.466,0.03,0.349,0.023,0.815,0.053,153.938
2017,35,121,75,80,0.472,0.78,0.919,0.06,0.848,0.055,1.766,0.115,0.441,0.029,0.331,0.021,0.772,0.05,153.938
2010,4,121,76,77,0.46,0.77,0.893,0.058,0.825,0.054,1.718,0.112,0.429,0.028,0.322,0.021,0.75,0.049,153.938
2017,14,121,78,68,0.419,0.73,0.808,0.053,0.746,0.048,1.554,0.101,0.388,0.025,0.291,0.019,0.679,0.044,153.938
2017,16,121,64,82,0.419,0.73,0.808,0.053,0.746,0.048,1.554,0.101,0.388,0.025,0.291,0.019,0.679,0.044,153.938
2010,5,121,62,62,0.302,0.62,0.57,0.037,0.526,0.034,1.096,0.071,0.274,0.018,0.205,0.013,0.479,0.031,153.938
2017,9,121,55,67,0.292,0.61,0.55,0.036,0.508,0.033,1.058,0.069,0.264,0.017,0.198,0.013,0.462,0.03,153.938
2010,3,121,52,68,0.283,0.6,0.531,0.035,0.49,0.032,1.021,0.066,0.255,0.017,0.191,0.012,0.446,0.029,153.938
2017,9,121,67,45,0.246,0.56,0.458,0.03,0.423,0.027,0.881,0.057,0.22,0.014,0.165,0.011,0.385,0.025,153.938
2017,14,121,56,55,0.242,0.56,0.45,0.029,0.415,0.027,0.865,0.056,0.216,0.014,0.162,0.011,0.378,0.025,153.938
2017,16,121,65,46,0.242,0.56,0.45,0.029,0.415,0.027,0.865,0.056,0.216,0.014,0.162,0.011,0.378,0.025,153.938
2017,17,121,50,59,0.233,0.55,0.432,0.028,0.399,0.026,0.832,0.054,0.208,0.013,0.156,0.01,0.363,0.024,153.938
2017,9,121,66,42,0.229,0.54,0.424,0.028,0.391,0.025,0.815,0.053,0.203,0.013,0.153,0.01,0.356,0.023,153.938
2017,16,121,65,39,0.212,0.52,0.391,0.025,0.361,0.023,0.752,0.049,0.188,0.012,0.141,0.009,0.328,0.021,153.938
2017,19,121,50,52,0.204,0.51,0.375,0.024,0.346,0.022,0.721,0.047,0.18,0.012,0.135,0.009,0.315,0.02,153.938
2017,17,121,46,44,0.159,0.45,0.287,0.019,0.265,0.017,0.552,0.036,0.138,0.009,0.103,0.007,0.241,0.016,153.938
2017,16,121,50,39,0.156,0.45,0.28,0.018,0.259,0.017,0.539,0.035,0.135,0.009,0.101,0.007,0.235,0.015,153.938
2017,19,121,35,51,0.145,0.43,0.26,0.017,0.24,0.016,0.501,0.033,0.125,0.008,0.094,0.006,0.219,0.014,153.938
2017,22,121,37,25,0.075,0.31,0.129,0.017,0.119,0.016,0.249,0.032,0.062,0.008,0.047,0.006,0.109,0.014,76.969
2017,16,121,41,35,0.113,0.38,0.2,0.013,0.184,0.012,0.384,0.025,0.096,0.006,0.072,0.005,0.168,0.011,153.938
2017,29,120,105,159,1.368,1.32,2.871,0.187,2.65,0.172,5.521,0.359,1.378,0.09,1.033,0.067,2.412,0.157,153.938
2010,1,120,122,135,1.297,1.29,2.711,0.176,2.502,0.163,5.212,0.339,1.301,0.085,0.976,0.063,2.277,0.148,153.938
2010,4,120,127,115,1.15,1.21,2.383,0.155,2.2,0.143,4.583,0.298,1.144,0.074,0.858,0.056,2.002,0.13,153.938
2010,7,120,121,102,0.976,1.12,2.001,0.13,1.847,0.12,3.847,0.25,0.96,0.062,0.72,0.047,1.68,0.109,153.938
2017,27,120,122,101,0.976,1.12,2.001,0.13,1.847,0.12,3.847,0.25,0.96,0.062,0.72,0.047,1.68,0.109,153.938
2017,16,120,78,70,0.43,0.74,0.832,0.054,0.768,0.05,1.6,0.104,0.399,0.026,0.3,0.019,0.699,0.045,153.938
2017,14,120,62,85,0.424,0.74,0.82,0.053,0.757,0.049,1.577,0.102,0.394,0.026,0.295,0.019,0.689,0.045,153.938
2017,14,120,72,73,0.413,0.73,0.796,0.052,0.735,0.048,1.531,0.099,0.382,0.025,0.287,0.019,0.669,0.043,153.938
2017,28,120,74,66,0.385,0.7,0.739,0.048,0.682,0.044,1.421,0.092,0.355,0.023,0.266,0.017,0.621,0.04,153.938
2017,21,120,57,44,0.2,0.51,0.367,0.048,0.339,0.044,0.706,0.092,0.176,0.023,0.132,0.017,0.309,0.04,76.969
2017,16,120,52,84,0.363,0.68,0.694,0.045,0.641,0.042,1.335,0.087,0.333,0.022,0.25,0.016,0.583,0.038,153.938
2017,8,120,70,65,0.358,0.68,0.683,0.044,0.631,0.041,1.314,0.085,0.328,0.021,0.246,0.016,0.574,0.037,153.938
2017,9,120,69,60,0.327,0.65,0.62,0.04,0.572,0.037,1.192,0.077,0.298,0.019,0.223,0.015,0.521,0.034,153.938
2010,3,120,56,67,0.297,0.62,0.56,0.036,0.517,0.034,1.077,0.07,0.269,0.017,0.202,0.013,0.47,0.031,153.938
2017,19,120,56,55,0.242,0.56,0.45,0.029,0.415,0.027,0.865,0.056,0.216,0.014,0.162,0.011,0.378,0.025,153.938
2010,6,120,94,13,0.225,0.54,0.416,0.027,0.384,0.025,0.799,0.052,0.199,0.013,0.15,0.01,0.349,0.023,153.938
2017,16,120,46,59,0.216,0.53,0.399,0.026,0.368,0.024,0.768,0.05,0.192,0.012,0.144,0.009,0.335,0.022,153.938
2017,9,120,44,43,0.149,0.44,0.267,0.017,0.246,0.016,0.513,0.033,0.128,0.008,0.096,0.006,0.224,0.015,153.938
2017,14,120,50,36,0.145,0.43,0.26,0.017,0.24,0.016,0.501,0.033,0.125,0.008,0.094,0.006,0.219,0.014,153.938
2017,20,120,30,29,0.068,0.3,0.116,0.015,0.107,0.014,0.224,0.029,0.056,0.007,0.042,0.005,0.098,0.013,76.969
2017,17,120,41,36,0.116,0.39,0.206,0.013,0.19,0.012,0.395,0.026,0.099,0.006,0.074,0.005,0.173,0.011,153.938
2017,16,120,39,28,0.088,0.34,0.153,0.01,0.141,0.009,0.293,0.019,0.073,0.005,0.055,0.004,0.128,0.008,153.938
2017,17,120,37,25,0.075,0.31,0.129,0.008,0.119,0.008,0.249,0.016,0.062,0.004,0.047,0.003,0.109,0.007,153.938
2017,19,120,35,10,0.04,0.23,0.065,0.004,0.06,0.004,0.125,0.008,0.031,0.002,0.023,0.002,0.055,0.004,153.938
2017,5_new,119,68,71,0.379,0.7,0.728,0.289,0.672,0.267,1.399,0.557,0.349,0.139,0.262,0.104,0.611,0.243,25.133
2017,1_new,119,65,59,0.302,0.62,0.57,0.227,0.526,0.209,1.096,0.436,0.274,0.109,0.205,0.082,0.479,0.19,25.133
2017,27,119,101,151,1.247,1.26,2.599,0.169,2.399,0.156,4.998,0.325,1.247,0.081,0.936,0.061,2.183,0.142,153.938
2017,32,119,105,118,0.976,1.12,2.001,0.13,1.847,0.12,3.847,0.25,0.96,0.062,0.72,0.047,1.68,0.109,153.938
2010,5,119,111,70,0.643,0.91,1.28,0.083,1.181,0.077,2.462,0.16,0.614,0.04,0.461,0.03,1.075,0.07,153.938
2017,12,119,87,91,0.622,0.89,1.235,0.08,1.14,0.074,2.375,0.154,0.593,0.039,0.445,0.029,1.037,0.067,153.938
2017,12,119,101,71,0.581,0.86,1.148,0.075,1.059,0.069,2.207,0.143,0.551,0.036,0.413,0.027,0.964,0.063,153.938
2017,30,119,62,50,0.246,0.56,0.458,0.06,0.423,0.055,0.881,0.114,0.22,0.029,0.165,0.021,0.385,0.05,76.969
2017,19,119,91,61,0.454,0.76,0.881,0.057,0.813,0.053,1.694,0.11,0.423,0.027,0.317,0.021,0.74,0.048,153.938
2017,8,119,78,71,0.436,0.75,0.844,0.055,0.779,0.051,1.623,0.105,0.405,0.026,0.304,0.02,0.709,0.046,153.938
2017,17,119,82,66,0.43,0.74,0.832,0.054,0.768,0.05,1.6,0.104,0.399,0.026,0.3,0.019,0.699,0.045,153.938
2017,9,119,78,69,0.424,0.74,0.82,0.053,0.757,0.049,1.577,0.102,0.394,0.026,0.295,0.019,0.689,0.045,153.938
2017,16,119,72,64,0.363,0.68,0.694,0.045,0.641,0.042,1.335,0.087,0.333,0.022,0.25,0.016,0.583,0.038,153.938
2017,33,119,60,74,0.353,0.67,0.673,0.044,0.621,0.04,1.294,0.084,0.323,0.021,0.242,0.016,0.565,0.037,153.938
2017,14,119,66,67,0.347,0.67,0.662,0.043,0.611,0.04,1.273,0.083,0.318,0.021,0.238,0.015,0.556,0.036,153.938
2017,16,119,70,62,0.342,0.66,0.651,0.042,0.601,0.039,1.253,0.081,0.313,0.02,0.234,0.015,0.547,0.036,153.938
2017,27,119,59,72,0.337,0.66,0.641,0.042,0.592,0.038,1.232,0.08,0.308,0.02,0.231,0.015,0.538,0.035,153.938
2017,14,119,85,45,0.332,0.65,0.63,0.041,0.582,0.038,1.212,0.079,0.303,0.02,0.227,0.015,0.53,0.034,153.938
2017,16,119,50,80,0.332,0.65,0.63,0.041,0.582,0.038,1.212,0.079,0.303,0.02,0.227,0.015,0.53,0.034,153.938
2017,8,119,78,50,0.322,0.64,0.61,0.04,0.563,0.037,1.173,0.076,0.293,0.019,0.22,0.014,0.512,0.033,153.938
2017,17,119,77,45,0.292,0.61,0.55,0.036,0.508,0.033,1.058,0.069,0.264,0.017,0.198,0.013,0.462,0.03,153.938
2010,5,119,66,52,0.273,0.59,0.512,0.033,0.473,0.031,0.985,0.064,0.246,0.016,0.184,0.012,0.43,0.028,153.938
2017,8,119,73,43,0.264,0.58,0.494,0.032,0.456,0.03,0.95,0.062,0.237,0.015,0.178,0.012,0.415,0.027,153.938
2017,14,119,62,50,0.246,0.56,0.458,0.03,0.423,0.027,0.881,0.057,0.22,0.014,0.165,0.011,0.385,0.025,153.938
2017,8,119,37,69,0.221,0.53,0.407,0.026,0.376,0.024,0.783,0.051,0.196,0.013,0.147,0.01,0.342,0.022,153.938
2017,17,119,55,50,0.216,0.53,0.399,0.026,0.368,0.024,0.768,0.05,0.192,0.012,0.144,0.009,0.335,0.022,153.938
2017,19,119,54,50,0.212,0.52,0.391,0.025,0.361,0.023,0.752,0.049,0.188,0.012,0.141,0.009,0.328,0.021,153.938
2017,22,119,50,25,0.11,0.38,0.194,0.025,0.179,0.023,0.374,0.049,0.093,0.012,0.07,0.009,0.163,0.021,76.969
2017,17,119,55,46,0.2,0.51,0.367,0.024,0.339,0.022,0.706,0.046,0.176,0.011,0.132,0.009,0.309,0.02,153.938
2017,14,119,58,39,0.185,0.49,0.337,0.022,0.311,0.02,0.648,0.042,0.162,0.011,0.121,0.008,0.283,0.018,153.938
2017,12,119,52,44,0.181,0.48,0.33,0.021,0.304,0.02,0.634,0.041,0.158,0.01,0.119,0.008,0.277,0.018,153.938
2017,17,119,55,36,0.163,0.46,0.294,0.019,0.271,0.018,0.565,0.037,0.141,0.009,0.106,0.007,0.247,0.016,153.938
2017,8,119,56,34,0.159,0.45,0.287,0.019,0.265,0.017,0.552,0.036,0.138,0.009,0.103,0.007,0.241,0.016,153.938
2017,17,119,47,41,0.152,0.44,0.274,0.018,0.252,0.016,0.526,0.034,0.131,0.009,0.098,0.006,0.23,0.015,153.938
2017,12,119,46,40,0.145,0.43,0.26,0.017,0.24,0.016,0.501,0.033,0.125,0.008,0.094,0.006,0.219,0.014,153.938
2017,14,119,37,42,0.123,0.4,0.217,0.014,0.2,0.013,0.418,0.027,0.104,0.007,0.078,0.005,0.182,0.012,153.938
2017,19,119,37,28,0.083,0.33,0.143,0.009,0.132,0.009,0.275,0.018,0.069,0.004,0.051,0.003,0.12,0.008,153.938
2017,17,119,17,43,0.071,0.3,0.121,0.008,0.111,0.007,0.232,0.015,0.058,0.004,0.043,0.003,0.101,0.007,153.938
2017,19,119,26,24,0.049,0.25,0.082,0.005,0.075,0.005,0.157,0.01,0.039,0.003,0.029,0.002,0.069,0.004,153.938
2010,1,118,159,130,1.64,1.45,3.484,0.226,3.216,0.209,6.7,0.435,1.672,0.109,1.254,0.081,2.927,0.19,153.938
2017,30,118,102,58,0.503,0.8,0.983,0.128,0.907,0.118,1.891,0.246,0.472,0.061,0.354,0.046,0.826,0.107,76.969
2017,14,118,104,86,0.709,0.95,1.42,0.092,1.311,0.085,2.731,0.177,0.682,0.044,0.511,0.033,1.193,0.077,153.938
2017,9,118,98,89,0.687,0.94,1.373,0.089,1.267,0.082,2.639,0.171,0.659,0.043,0.494,0.032,1.153,0.075,153.938
2010,2,118,90,70,0.503,0.8,0.983,0.064,0.907,0.059,1.891,0.123,0.472,0.031,0.354,0.023,0.826,0.054,153.938
2017,14,118,85,74,0.496,0.8,0.97,0.063,0.895,0.058,1.865,0.121,0.466,0.03,0.349,0.023,0.815,0.053,153.938
2017,9,118,78,77,0.472,0.78,0.919,0.06,0.848,0.055,1.766,0.115,0.441,0.029,0.331,0.021,0.772,0.05,153.938
2017,8,118,67,74,0.39,0.71,0.75,0.049,0.692,0.045,1.442,0.094,0.36,0.023,0.27,0.018,0.63,0.041,153.938
2010,3,118,70,66,0.363,0.68,0.694,0.045,0.641,0.042,1.335,0.087,0.333,0.022,0.25,0.016,0.583,0.038,153.938
2017,17,118,60,59,0.278,0.6,0.522,0.034,0.482,0.031,1.003,0.065,0.25,0.016,0.188,0.012,0.438,0.028,153.938
2017,9,118,53,64,0.269,0.59,0.503,0.033,0.464,0.03,0.968,0.063,0.242,0.016,0.181,0.012,0.423,0.027,153.938
2017,17,118,60,48,0.229,0.54,0.424,0.028,0.391,0.025,0.815,0.053,0.203,0.013,0.153,0.01,0.356,0.023,153.938
2010,3,118,62,43,0.216,0.53,0.399,0.026,0.368,0.024,0.768,0.05,0.192,0.012,0.144,0.009,0.335,0.022,153.938
2017,16,118,42,35,0.116,0.39,0.206,0.013,0.19,0.012,0.395,0.026,0.099,0.006,0.074,0.005,0.173,0.011,153.938
2017,9,118,37,36,0.105,0.37,0.183,0.012,0.169,0.011,0.353,0.023,0.088,0.006,0.066,0.004,0.154,0.01,153.938
2010,7,117,174,192,2.63,1.83,5.776,0.375,5.331,0.346,11.108,0.722,2.773,0.18,2.079,0.135,4.852,0.315,153.938
2010,7,117,158,188,2.351,1.73,5.122,0.333,4.727,0.307,9.849,0.64,2.458,0.16,1.844,0.12,4.302,0.279,153.938
2010,6,117,160,159,1.998,1.6,4.304,0.28,3.973,0.258,8.277,0.538,2.066,0.134,1.549,0.101,3.616,0.235,153.938
2010,1,117,176,130,1.839,1.53,3.938,0.256,3.634,0.236,7.572,0.492,1.89,0.123,1.417,0.092,3.308,0.215,153.938
2017,29,117,157,137,1.697,1.47,3.615,0.235,3.336,0.217,6.951,0.452,1.735,0.113,1.301,0.085,3.036,0.197,153.938
2017,29,117,135,126,1.338,1.31,2.802,0.182,2.586,0.168,5.387,0.35,1.345,0.087,1.008,0.066,2.353,0.153,153.938
2010,7,117,121,130,1.237,1.26,2.577,0.167,2.378,0.155,4.955,0.322,1.237,0.08,0.928,0.06,2.165,0.141,153.938
2010,4,117,73,157,1.039,1.15,2.137,0.139,1.973,0.128,4.11,0.267,1.026,0.067,0.769,0.05,1.795,0.117,153.938
2010,1,117,138,90,1.021,1.14,2.098,0.136,1.936,0.126,4.034,0.262,1.007,0.065,0.755,0.049,1.762,0.114,153.938
2010,4,117,112,101,0.891,1.07,1.814,0.118,1.674,0.109,3.487,0.227,0.871,0.057,0.653,0.042,1.523,0.099,153.938
2017,22,117,95,56,0.448,0.76,0.869,0.113,0.802,0.104,1.67,0.217,0.417,0.054,0.313,0.041,0.73,0.095,76.969
2017,14,117,96,99,0.747,0.98,1.501,0.098,1.386,0.09,2.887,0.188,0.721,0.047,0.54,0.035,1.261,0.082,153.938
2017,8,117,94,89,0.658,0.92,1.311,0.085,1.21,0.079,2.52,0.164,0.629,0.041,0.472,0.031,1.101,0.072,153.938
2017,21,117,77,55,0.342,0.66,0.651,0.085,0.601,0.078,1.253,0.163,0.313,0.041,0.234,0.03,0.547,0.071,76.969
2017,19,117,116,61,0.615,0.89,1.22,0.079,1.126,0.073,2.347,0.152,0.586,0.038,0.439,0.029,1.025,0.067,153.938
2010,1,117,99,77,0.608,0.88,1.206,0.078,1.113,0.072,2.318,0.151,0.579,0.038,0.434,0.028,1.013,0.066,153.938
2017,26,117,95,70,0.535,0.83,1.05,0.068,0.969,0.063,2.019,0.131,0.504,0.033,0.378,0.025,0.882,0.057,153.938
2010,2,117,99,65,0.528,0.82,1.036,0.067,0.957,0.062,1.993,0.129,0.498,0.032,0.373,0.024,0.871,0.057,153.938
2017,14,117,87,75,0.515,0.81,1.01,0.066,0.932,0.061,1.941,0.126,0.485,0.031,0.363,0.024,0.848,0.055,153.938
2010,2,117,50,105,0.472,0.78,0.919,0.06,0.848,0.055,1.766,0.115,0.441,0.029,0.331,0.021,0.772,0.05,153.938
2010,3,117,82,73,0.472,0.78,0.919,0.06,0.848,0.055,1.766,0.115,0.441,0.029,0.331,0.021,0.772,0.05,153.938
2017,12,117,64,79,0.402,0.72,0.773,0.05,0.714,0.046,1.487,0.097,0.371,0.024,0.278,0.018,0.649,0.042,153.938
2010,6,117,65,72,0.369,0.69,0.705,0.046,0.651,0.042,1.356,0.088,0.339,0.022,0.254,0.016,0.592,0.038,153.938
2017,9,117,68,69,0.369,0.69,0.705,0.046,0.651,0.042,1.356,0.088,0.339,0.022,0.254,0.016,0.592,0.038,153.938
2017,9,117,67,70,0.369,0.69,0.705,0.046,0.651,0.042,1.356,0.088,0.339,0.022,0.254,0.016,0.592,0.038,153.938
