Plantation year,Plot,height (cm),canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB       (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,5_new,164,89,77,0.541,0.83,1.064,0.423,0.982,0.391,2.046,0.814,0.511,0.203,0.383,0.152,0.893,0.356,25.133
2017,3_new,164,82,66,0.43,0.74,0.832,0.331,0.768,0.306,1.6,0.637,0.399,0.159,0.3,0.119,0.699,0.278,25.133
2017,2_new,164,55,70,0.307,0.63,0.58,0.231,0.535,0.213,1.115,0.444,0.278,0.111,0.209,0.083,0.487,0.194,25.133
2017,1_new,164,72,48,0.283,0.6,0.531,0.211,0.49,0.195,1.021,0.406,0.255,0.101,0.191,0.076,0.446,0.178,25.133
2010,3,164,157,122,1.528,1.4,3.231,0.21,2.983,0.194,6.214,0.404,1.551,0.101,1.163,0.076,2.714,0.176,153.938
2020,42,164,112,81,0.731,0.97,1.469,0.095,1.355,0.088,2.824,0.183,0.705,0.046,0.529,0.034,1.234,0.08,153.938
2017,19,164,39,25,0.08,0.32,0.138,0.009,0.128,0.008,0.266,0.017,0.066,0.004,0.05,0.003,0.116,0.008,153.938
2017,3_new,163,114,71,0.672,0.93,1.341,0.534,1.238,0.493,2.579,1.026,0.644,0.256,0.483,0.192,1.127,0.448,25.133
2017,3_new,163,89,72,0.509,0.81,0.996,0.396,0.92,0.366,1.916,0.762,0.478,0.19,0.359,0.143,0.837,0.333,25.133
2017,20,163,62,40,0.204,0.51,0.375,0.049,0.346,0.045,0.721,0.094,0.18,0.023,0.135,0.018,0.315,0.041,76.969
2017,17,163,55,28,0.135,0.42,0.241,0.016,0.223,0.014,0.464,0.03,0.116,0.008,0.087,0.006,0.203,0.013,153.938
2017,18,163,35,25,0.071,0.3,0.121,0.016,0.111,0.014,0.232,0.03,0.058,0.008,0.043,0.006,0.101,0.013,76.969
2017,19,163,45,23,0.091,0.34,0.158,0.01,0.145,0.009,0.303,0.02,0.076,0.005,0.057,0.004,0.132,0.009,153.938
2017,5_new,162,230,123,2.447,1.77,5.346,2.127,4.934,1.963,10.28,4.09,2.566,1.021,1.924,0.766,4.491,1.787,25.133
2017,5_new,162,131,125,1.287,1.28,2.688,1.07,2.481,0.987,5.169,2.057,1.29,0.513,0.968,0.385,2.258,0.898,25.133
2017,5_new,162,132,117,1.217,1.25,2.533,1.008,2.338,0.93,4.871,1.938,1.216,0.484,0.912,0.363,2.128,0.847,25.133
2017,5_new,162,94,87,0.643,0.91,1.28,0.509,1.181,0.47,2.462,0.979,0.614,0.244,0.461,0.183,1.075,0.428,25.133
2017,17,162,96,104,0.785,1,1.585,0.103,1.463,0.095,3.048,0.198,0.761,0.049,0.571,0.037,1.331,0.086,153.938
2017,19,162,60,47,0.225,0.54,0.416,0.027,0.384,0.025,0.799,0.052,0.199,0.013,0.15,0.01,0.349,0.023,153.938
2017,3_new,161,115,104,0.942,1.1,1.925,0.766,1.776,0.707,3.701,1.473,0.924,0.368,0.693,0.276,1.617,0.643,25.133
2017,3_new,161,94,57,0.448,0.76,0.869,0.346,0.802,0.319,1.67,0.665,0.417,0.166,0.313,0.124,0.73,0.29,25.133
2010,2,161,84,102,0.679,0.93,1.357,0.088,1.252,0.081,2.609,0.17,0.651,0.042,0.488,0.032,1.14,0.074,153.938
2017,19,161,41,29,0.096,0.35,0.168,0.011,0.155,0.01,0.322,0.021,0.08,0.005,0.06,0.004,0.141,0.009,153.938
2017,19,161,23,27,0.049,0.25,0.082,0.005,0.075,0.005,0.157,0.01,0.039,0.003,0.029,0.002,0.069,0.004,153.938
2017,19,161,21,13,0.023,0.17,0.036,0.002,0.033,0.002,0.069,0.004,0.017,0.001,0.013,0.001,0.03,0.002,153.938
2017,2_new,160,120,93,0.891,1.07,1.814,0.722,1.674,0.666,3.487,1.388,0.871,0.346,0.653,0.26,1.523,0.606,25.133
2017,2_new,160,72,80,0.454,0.76,0.881,0.351,0.813,0.324,1.694,0.674,0.423,0.168,0.317,0.126,0.74,0.294,25.133
2017,3_new,160,72,65,0.369,0.69,0.705,0.281,0.651,0.259,1.356,0.54,0.339,0.135,0.254,0.101,0.592,0.236,25.133
2017,2_new,160,72,42,0.255,0.57,0.476,0.189,0.439,0.175,0.915,0.364,0.228,0.091,0.171,0.068,0.4,0.159,25.133
2017,16,160,139,92,1.048,1.16,2.157,0.14,1.991,0.129,4.149,0.27,1.036,0.067,0.777,0.05,1.812,0.118,153.938
2017,16,160,112,101,0.891,1.07,1.814,0.118,1.674,0.109,3.487,0.227,0.871,0.057,0.653,0.042,1.523,0.099,153.938
2010,3,159,178,167,2.337,1.73,5.09,0.331,4.698,0.305,9.788,0.636,2.443,0.159,1.832,0.119,4.276,0.278,153.938
2017,3_new,159,74,66,0.385,0.7,0.739,0.294,0.682,0.271,1.421,0.565,0.355,0.141,0.266,0.106,0.621,0.247,25.133
2017,2_new,159,71,68,0.379,0.7,0.728,0.289,0.672,0.267,1.399,0.557,0.349,0.139,0.262,0.104,0.611,0.243,25.133
2017,18,159,90,65,0.472,0.78,0.919,0.119,0.848,0.11,1.766,0.229,0.441,0.057,0.331,0.043,0.772,0.1,76.969
2017,22,159,70,65,0.358,0.68,0.683,0.089,0.631,0.082,1.314,0.171,0.328,0.043,0.246,0.032,0.574,0.075,76.969
2010,5,159,81,95,0.608,0.88,1.206,0.078,1.113,0.072,2.318,0.151,0.579,0.038,0.434,0.028,1.013,0.066,153.938
2017,19,159,53,51,0.212,0.52,0.391,0.025,0.361,0.023,0.752,0.049,0.188,0.012,0.141,0.009,0.328,0.021,153.938
2017,19,159,35,25,0.071,0.3,0.121,0.008,0.111,0.007,0.232,0.015,0.058,0.004,0.043,0.003,0.101,0.007,153.938
2010,7,158,185,456,8.068,3.21,19.163,1.245,17.688,1.149,36.851,2.394,9.198,0.598,6.898,0.448,16.097,1.046,153.938
2010,1,158,215,233,3.941,2.24,8.903,0.578,8.217,0.534,17.12,1.112,4.273,0.278,3.205,0.208,7.478,0.486,153.938
2017,2_new,158,111,66,0.615,0.89,1.22,0.486,1.126,0.448,2.347,0.934,0.586,0.233,0.439,0.175,1.025,0.408,25.133
2017,5_new,158,85,81,0.541,0.83,1.064,0.423,0.982,0.391,2.046,0.814,0.511,0.203,0.383,0.152,0.893,0.356,25.133
2017,22,158,150,36,0.679,0.93,1.357,0.176,1.252,0.163,2.609,0.339,0.651,0.085,0.488,0.063,1.14,0.148,76.969
2010,3,158,136,121,1.297,1.29,2.711,0.176,2.502,0.163,5.212,0.339,1.301,0.085,0.976,0.063,2.277,0.148,153.938
2017,20,158,12,50,0.075,0.31,0.129,0.017,0.119,0.016,0.249,0.032,0.062,0.008,0.047,0.006,0.109,0.014,76.969
2017,5_new,157,126,114,1.131,1.2,2.341,0.932,2.161,0.86,4.502,1.791,1.124,0.447,0.843,0.335,1.967,0.782,25.133
2017,1_new,157,126,82,0.849,1.04,1.724,0.686,1.591,0.633,3.315,1.319,0.827,0.329,0.62,0.247,1.448,0.576,25.133
2010,7,157,198,179,2.791,1.89,6.154,0.4,5.68,0.369,11.834,0.769,2.954,0.192,2.215,0.144,5.169,0.336,153.938
2017,27,157,127,138,1.379,1.33,2.894,0.188,2.671,0.174,5.566,0.362,1.389,0.09,1.042,0.068,2.431,0.158,153.938
2017,3_new,157,66,41,0.225,0.54,0.416,0.165,0.384,0.153,0.799,0.318,0.199,0.079,0.15,0.06,0.349,0.139,25.133
2017,21,157,75,50,0.307,0.63,0.58,0.075,0.535,0.07,1.115,0.145,0.278,0.036,0.209,0.027,0.487,0.063,76.969
2017,19,157,81,70,0.448,0.76,0.869,0.056,0.802,0.052,1.67,0.109,0.417,0.027,0.313,0.02,0.73,0.047,153.938
2017,22,157,70,35,0.216,0.53,0.399,0.052,0.368,0.048,0.768,0.1,0.192,0.025,0.144,0.019,0.335,0.044,76.969
2017,29,156,135,115,1.227,1.25,2.555,0.166,2.358,0.153,4.913,0.319,1.226,0.08,0.92,0.06,2.146,0.139,153.938
2017,5_new,156,48,41,0.156,0.45,0.28,0.111,0.259,0.103,0.539,0.214,0.135,0.054,0.101,0.04,0.235,0.094,25.133
2017,20,156,50,35,0.142,0.43,0.254,0.033,0.234,0.03,0.488,0.063,0.122,0.016,0.091,0.012,0.213,0.028,76.969
2010,5,155,195,170,2.616,1.83,5.743,0.373,5.3,0.344,11.043,0.717,2.756,0.179,2.067,0.134,4.824,0.313,153.938
