year,name,species,Plot, d30 , Height (m) , Height (cm) , Crown Dia (m) , Crown Dia (cm) , Crown Circum. (cm)  , LOG AGB AVI , Aboveground biomass (Kg) , Aboveground biomass (t/ha) , Belowground biomass (Kg) , Belowground biomass (t/ha) , Total biomass per ha (t/ha) , AGC (Kg) , BGC (Kg) , Total C (Kg) , Total C (t/ha) ," Btree l,j,p,i "
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 4.20 , 2.40 , 240.00 , 2.60 , 260 , 817 , 1.09 , 12.25 , 0.49 , 11.30 , 0.45 , 0.94 , 5.88 , 4.41 , 10.29 , 0.41 , 23.55 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 3.20 , 1.90 , 190.00 , 1.10 , 110 , 346 , 0.29 , 1.94 , 0.08 , 1.79 , 0.07 , 0.15 , 0.93 , 0.70 , 1.63 , 0.07 , 3.74 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 3.80 , 1.75 , 175.00 , 1.45 , 145 , 456 , 0.55 , 3.51 , 0.14 , 3.24 , 0.13 , 0.27 , 1.68 , 1.26 , 2.95 , 0.12 , 6.75 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.30 , 1.02 , 102.00 , 0.75 , 75 , 236 , (0.07), 0.86 , 0.03 , 0.79 , 0.03 , 0.07 , 0.41 , 0.31 , 0.72 , 0.03 , 1.65 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 5.10 , 1.65 , 165.00 , 2.40 , 240 , 754 , 1.01 , 10.32 , 0.41 , 9.52 , 0.38 , 0.79 , 4.95 , 3.71 , 8.67 , 0.35 , 19.84 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 5.40 , 1.70 , 170.00 , 2.55 , 255 , 801 , 1.07 , 11.75 , 0.47 , 10.84 , 0.43 , 0.90 , 5.64 , 4.23 , 9.87 , 0.39 , 22.59 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.60 , 1.10 , 110.00 , 1.15 , 115 , 361 , 0.33 , 2.14 , 0.09 , 1.97 , 0.08 , 0.16 , 1.03 , 0.77 , 1.80 , 0.07 , 4.11 
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.20 , 0.80 , 80.00 , 0.74 , 74 , 233 , (0.08), 0.83 , 0.03 , 0.77 , 0.03 , 0.06 , 0.40 , 0.30 , 0.70 , 0.03 , 1.60 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.80 , 0.81 , 81.00 , 1.10 , 110 , 346 , 0.29 , 1.94 , 0.08 , 1.79 , 0.07 , 0.15 , 0.93 , 0.70 , 1.63 , 0.07 , 3.74 
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.40 , 0.95 , 95.00 , 0.70 , 70 , 220 , (0.13), 0.74 , 0.03 , 0.68 , 0.03 , 0.06 , 0.35 , 0.27 , 0.62 , 0.02 , 1.42 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.20 , 0.84 , 84.00 , 0.73 , 73 , 229 , (0.09), 0.81 , 0.03 , 0.75 , 0.03 , 0.06 , 0.39 , 0.29 , 0.68 , 0.03 , 1.55 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.90 , 0.75 , 75.00 , 0.94 , 94 , 295 , 0.14 , 1.39 , 0.06 , 1.28 , 0.05 , 0.11 , 0.67 , 0.50 , 1.17 , 0.05 , 2.67 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 5.40 , 2.10 , 210.00 , 3.10 , 310 , 974 , 1.25 , 17.84 , 0.71 , 16.47 , 0.66 , 1.37 , 8.57 , 6.42 , 14.99 , 0.60 , 34.32 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 2.10 , 0.70 , 70.00 , 1.10 , 110 , 346 , 0.29 , 1.94 , 0.08 , 1.79 , 0.07 , 0.15 , 0.93 , 0.70 , 1.63 , 0.07 , 3.74 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.80 , 1.02 , 102.00 , 0.78 , 78 , 245 , (0.03), 0.93 , 0.04 , 0.86 , 0.03 , 0.07 , 0.45 , 0.34 , 0.78 , 0.03 , 1.79 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.20 , 0.71 , 71.00 , 0.82 , 82 , 258 , 0.02 , 1.04 , 0.04 , 0.96 , 0.04 , 0.08 , 0.50 , 0.37 , 0.87 , 0.03 , 1.99 
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 3.20 , 1.15 , 115.00 , 2.20 , 220 , 691 , 0.93 , 8.57 , 0.34 , 7.91 , 0.32 , 0.66 , 4.11 , 3.08 , 7.20 , 0.29 , 16.47 
2015,2015 Sample Plot # 04,Avi,2015_2015 Sample Plot # 04_Avi, 1.20 , 0.90 , 90.00 , 0.70 , 70 , 220 , (0.13), 0.74 , 0.03 , 0.68 , 0.03 , 0.06 , 0.35 , 0.27 , 0.62 , 0.02 , 1.42 
