site,year,plot_name,full_plot_name,height_cm,crown_diameter_cm,total_tree_c_kg,total_tree_c_Mg_ha
A,2017,Sample_Plot#16,siteA_2017_plot_16,97,41,0.198,0.013
A,2017,Sample_Plot#26,siteA_2017_plot_26,97,41,0.198,0.013
A,2017,Sample_Plot#12,siteA_2017_plot_12,97,40,0.182,0.012
A,2017,Sample_Plot#12,siteA_2017_plot_12,97,39,0.173,0.011
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,39,0.173,0.011
A,2017,Sample_Plot#16,siteA_2017_plot_16,97,38,0.163,0.011
A,2017,Sample_Plot#12,siteA_2017_plot_12,97,37,0.154,0.01
A,2017,Sample_Plot#16,siteA_2017_plot_16,97,36,0.15,0.01
A,2017,Sample_Plot#19,siteA_2017_plot_19,97,36,0.15,0.01
A,2017,Sample_Plot#08,siteA_2017_plot_08,97,36,0.145,0.009
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,35,0.137,0.009
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,35,0.137,0.009
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,34,0.132,0.009
A,2017,Sample_Plot#12,siteA_2017_plot_12,97,33,0.12,0.008
A,2017,Sample_Plot#16,siteA_2017_plot_16,97,31,0.105,0.007
A,2017,Sample_Plot#16,siteA_2017_plot_16,97,28.999999999999996,0.094,0.006
A,2017,Sample_Plot#16,siteA_2017_plot_16,97,28.000000000000004,0.084,0.005
A,2017,Sample_Plot#08,siteA_2017_plot_08,97,27,0.078,0.005
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,26,0.071,0.005
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,22,0.052,0.003
A,2017,Sample_Plot#17,siteA_2017_plot_17,97,16,0.025,0.002
A,2019,Sample_Plot#02,siteA_2019_plot_02,96,117,1.863,0.121
A,2020,Sample_Plot#33,siteA_2020_plot_33,96,103,1.404,0.091
A,2017,Sample_Plot#29,siteA_2017_plot_29,96,95,1.179,0.077
