site,year,plot_name,full_plot_name,height_cm,crown_diameter_cm,total_tree_c_kg,total_tree_c_Mg_ha
A,2017,Sample_Plot#08,siteA_2017_plot_08,112,57.99999999999999,0.415,0.027
A,2010,Sample_Plot#05,siteA_2010_plot_05,217,335,17.639,1.146
A,2017,Sample_Plot#19,siteA_2017_plot_19,211,63,0.495,0.032
A,2017,Sample_Plot#19,siteA_2017_plot_19,209,102,1.374,0.089
A,2017,Sample_Plot#17,siteA_2017_plot_17,207,52,0.324,0.021
A,2017,Sample_Plot#19,siteA_2017_plot_19,201,44,0.23,0.015
A,2010,Sample_Plot#02,siteA_2010_plot_02,200,339,18.151,1.179
A,2010,Sample_Plot#05,siteA_2010_plot_05,199,160,3.64,0.236
A,2017,Sample_Plot#19,siteA_2017_plot_19,198,140,2.735,0.178
A,2017,Sample_Plot#16,siteA_2017_plot_16,197,80,0.826,0.054
A,2017,Sample_Plot#19,siteA_2017_plot_19,197,41,0.192,0.012
A,2017,Sample_Plot#19,siteA_2017_plot_19,195,133,2.451,0.159
A,2017,Sample_Plot#19,siteA_2017_plot_19,195,70,0.621,0.04
A,2017,Sample_Plot#19,siteA_2017_plot_19,194,53,0.335,0.022
A,2017,Sample_Plot#29,siteA_2017_plot_29,192,104,1.448,0.094
A,2017,Sample_Plot#19,siteA_2017_plot_19,191,43,0.213,0.014
A,2010,Sample_Plot#03,siteA_2010_plot_03,190,254.99999999999997,9.869,0.641
A,2017,Sample_Plot#29,siteA_2017_plot_29,190,122,2.037,0.132
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,90,1.05,0.068
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,75,0.709,0.046
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,74,0.689,0.045
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,64,0.504,0.033
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,57.99999999999999,0.407,0.026
A,2017,Sample_Plot#19,siteA_2017_plot_19,190,32,0.112,0.007
A,2017,Sample_Plot#19,siteA_2017_plot_19,188,42,0.203,0.013
A,2017,Sample_Plot#17,siteA_2017_plot_17,186,97,1.234,0.08
A,2010,Sample_Plot#05,siteA_2010_plot_05,185,206.99999999999997,6.283,0.408
A,2010,Sample_Plot#05,siteA_2010_plot_05,185,204.99999999999997,6.186,0.402
A,2017,Sample_Plot#27,siteA_2017_plot_27,185,125,2.128,0.138
A,2017,Sample_Plot#19,siteA_2017_plot_19,185,61,0.454,0.03
A,2017,Sample_Plot#19,siteA_2017_plot_19,185,37,0.154,0.01
A,2017,Sample_Plot#16,siteA_2017_plot_16,182,95,1.179,0.077
A,2017,Sample_Plot#19,siteA_2017_plot_19,181,52,0.328,0.021
A,2010,Sample_Plot#05,siteA_2010_plot_05,180,38,0.168,0.011
A,2017,Sample_Plot#19,siteA_2017_plot_19,179,112.99999999999999,1.713,0.111
A,2017,Sample_Plot#19,siteA_2017_plot_19,179,43,0.219,0.014
A,2017,Sample_Plot#19,siteA_2017_plot_19,178,68,0.574,0.037
A,2017,Sample_Plot#19,siteA_2017_plot_19,178,40,0.187,0.012
A,2017,Sample_Plot#16,siteA_2017_plot_16,177,131,2.353,0.153
A,2017,Sample_Plot#19,siteA_2017_plot_19,177,83,0.882,0.057
A,2017,Sample_Plot#17,siteA_2017_plot_17,176,139,2.673,0.174
A,2017,Sample_Plot#17,siteA_2017_plot_17,176,74,0.689,0.045
A,2010,Sample_Plot#05,siteA_2010_plot_05,175,120,1.967,0.128
A,2017,Sample_Plot#19,siteA_2017_plot_19,175,50,0.302,0.02
A,2017,Sample_Plot#17,siteA_2017_plot_17,173,60,0.438,0.028
A,2017,Sample_Plot#19,siteA_2017_plot_19,172,100,1.331,0.086
A,2017,Sample_Plot#17,siteA_2017_plot_17,171,99,1.303,0.085
A,2017,Sample_Plot#16,siteA_2017_plot_16,170,88,1.013,0.066
A,2017,Sample_Plot#19,siteA_2017_plot_19,170,44,0.23,0.015
A,2017,Sample_Plot#19,siteA_2017_plot_19,168,60,0.446,0.029
A,2017,Sample_Plot#09,siteA_2017_plot_09,168,49,0.283,0.018
A,2017,Sample_Plot#17,siteA_2017_plot_17,167,66,0.547,0.036
A,2017,Sample_Plot#19,siteA_2017_plot_19,167,55.00000000000001,0.37,0.024
A,2017,Sample_Plot#17,siteA_2017_plot_17,167,33,0.124,0.008
A,2017,Sample_Plot#19,siteA_2017_plot_19,165,78,0.782,0.051
A,2010,Sample_Plot#03,siteA_2010_plot_03,164,140,2.714,0.176
A,2020,Sample_Plot#42,siteA_2020_plot_42,164,97,1.234,0.08
A,2017,Sample_Plot#19,siteA_2017_plot_19,164,32,0.116,0.008
A,2017,Sample_Plot#17,siteA_2017_plot_17,163,42,0.203,0.013
A,2017,Sample_Plot#19,siteA_2017_plot_19,163,34,0.132,0.009
A,2017,Sample_Plot#17,siteA_2017_plot_17,162,100,1.331,0.086
A,2017,Sample_Plot#19,siteA_2017_plot_19,162,54,0.349,0.023
A,2010,Sample_Plot#02,siteA_2010_plot_02,161,93,1.14,0.074
A,2017,Sample_Plot#19,siteA_2017_plot_19,161,35,0.141,0.009
A,2017,Sample_Plot#19,siteA_2017_plot_19,161,25,0.069,0.004
A,2017,Sample_Plot#19,siteA_2017_plot_19,161,17,0.03,0.002
A,2017,Sample_Plot#16,siteA_2017_plot_16,160,115.99999999999999,1.812,0.118
A,2017,Sample_Plot#16,siteA_2017_plot_16,160,107,1.523,0.099
A,2010,Sample_Plot#03,siteA_2010_plot_03,159,173,4.276,0.278
A,2010,Sample_Plot#05,siteA_2010_plot_05,159,88,1.013,0.066
A,2017,Sample_Plot#19,siteA_2017_plot_19,159,52,0.328,0.021
A,2017,Sample_Plot#19,siteA_2017_plot_19,159,30,0.101,0.007
A,2010,Sample_Plot#07,siteA_2010_plot_07,158,321,16.097,1.046
A,2010,Sample_Plot#01,siteA_2010_plot_01,158,224.00000000000003,7.478,0.486
A,2010,Sample_Plot#03,siteA_2010_plot_03,158,129,2.277,0.148
A,2010,Sample_Plot#07,siteA_2010_plot_07,157,189,5.169,0.336
A,2017,Sample_Plot#27,siteA_2017_plot_27,157,133,2.431,0.158
A,2017,Sample_Plot#19,siteA_2017_plot_19,157,76,0.73,0.047
A,2017,Sample_Plot#29,siteA_2017_plot_29,156,125,2.146,0.139
A,2010,Sample_Plot#05,siteA_2010_plot_05,155,183,4.824,0.313
A,2010,Sample_Plot#05,siteA_2010_plot_05,155,142,2.819,0.183
A,2017,Sample_Plot#19,siteA_2017_plot_19,155,53,0.342,0.022
A,2010,Sample_Plot#05,siteA_2010_plot_05,155,38,0.163,0.011
A,2010,Sample_Plot#04,siteA_2010_plot_04,154,144,2.884,0.187
A,2010,Sample_Plot#02,siteA_2010_plot_02,154,121,2.002,0.13
A,2017,Sample_Plot#19,siteA_2017_plot_19,153,68,0.574,0.037
A,2017,Sample_Plot#16,siteA_2017_plot_16,152,132,2.392,0.155
A,2010,Sample_Plot#02,siteA_2010_plot_02,151,120,1.967,0.128
A,2010,Sample_Plot#05,siteA_2010_plot_05,151,110.00000000000001,1.632,0.106
A,2017,Sample_Plot#16,siteA_2017_plot_16,151,66,0.547,0.036
A,2010,Sample_Plot#02,siteA_2010_plot_02,150,119,1.932,0.125
A,2010,Sample_Plot#03,siteA_2010_plot_03,150,92,1.114,0.072
A,2017,Sample_Plot#14,siteA_2017_plot_14,150,80,0.826,0.054
A,2017,Sample_Plot#14,siteA_2017_plot_14,150,78,0.772,0.05
A,2017,Sample_Plot#17,siteA_2017_plot_17,150,72,0.649,0.042
A,2017,Sample_Plot#16,siteA_2017_plot_16,150,67,0.565,0.037
A,2017,Sample_Plot#17,siteA_2017_plot_17,150,62,0.47,0.031
A,2017,Sample_Plot#19,siteA_2017_plot_19,150,39,0.173,0.011
A,2017,Sample_Plot#19,siteA_2017_plot_19,150,28.000000000000004,0.084,0.005
A,2010,Sample_Plot#02,siteA_2010_plot_02,149,125,2.146,0.139
A,2017,Sample_Plot#16,siteA_2017_plot_16,149,102,1.389,0.09
A,2017,Sample_Plot#17,siteA_2017_plot_17,149,96,1.22,0.079
A,2017,Sample_Plot#16,siteA_2017_plot_16,149,85,0.928,0.06
A,2017,Sample_Plot#09,siteA_2017_plot_09,149,26,0.075,0.005
A,2010,Sample_Plot#07,siteA_2010_plot_07,148,188,5.111,0.332
A,2017,Sample_Plot#28,siteA_2017_plot_28,148,145,2.948,0.192
A,2010,Sample_Plot#06,siteA_2010_plot_06,148,104,1.448,0.094
A,2017,Sample_Plot#19,siteA_2017_plot_19,148,34,0.132,0.009
A,2017,Sample_Plot#19,siteA_2017_plot_19,148,30,0.098,0.006
A,2010,Sample_Plot#04,siteA_2010_plot_04,147,158,3.543,0.23
A,2010,Sample_Plot#07,siteA_2010_plot_07,147,157,3.495,0.227
A,2010,Sample_Plot#01,siteA_2010_plot_01,147,153,3.284,0.213
A,2017,Sample_Plot#17,siteA_2017_plot_17,147,76,0.74,0.048
A,2010,Sample_Plot#02,siteA_2010_plot_02,146,124,2.091,0.136
A,2017,Sample_Plot#16,siteA_2017_plot_16,146,77,0.761,0.049
A,2017,Sample_Plot#16,siteA_2017_plot_16,146,74,0.689,0.045
A,2017,Sample_Plot#14,siteA_2017_plot_14,146,65,0.521,0.034
A,2017,Sample_Plot#17,siteA_2017_plot_17,146,43,0.213,0.014
A,2017,Sample_Plot#27,siteA_2017_plot_27,145,175,4.409,0.286
A,2017,Sample_Plot#26,siteA_2017_plot_26,145,167,3.964,0.257
A,2010,Sample_Plot#02,siteA_2010_plot_02,145,162,3.713,0.241
A,2017,Sample_Plot#17,siteA_2017_plot_17,145,107,1.523,0.099
A,2017,Sample_Plot#19,siteA_2017_plot_19,145,48,0.271,0.018
A,2017,Sample_Plot#19,siteA_2017_plot_19,145,45,0.241,0.016
A,2010,Sample_Plot#05,siteA_2010_plot_05,144,107,1.539,0.1
A,2017,Sample_Plot#14,siteA_2017_plot_14,144,94,1.166,0.076
A,2010,Sample_Plot#02,siteA_2010_plot_02,144,56.99999999999999,0.392,0.025
A,2017,Sample_Plot#19,siteA_2017_plot_19,144,55.00000000000001,0.37,0.024
A,2017,Sample_Plot#19,siteA_2017_plot_19,144,54,0.356,0.023
A,2017,Sample_Plot#19,siteA_2017_plot_19,144,34,0.132,0.009
A,2017,Sample_Plot#19,siteA_2017_plot_19,144,28.000000000000004,0.084,0.005
A,2010,Sample_Plot#03,siteA_2010_plot_03,143,123,2.073,0.135
A,2017,Sample_Plot#16,siteA_2017_plot_16,143,55.00000000000001,0.37,0.024
A,2017,Sample_Plot#17,siteA_2017_plot_17,143,54,0.349,0.023
A,2017,Sample_Plot#14,siteA_2017_plot_14,143,52,0.322,0.021
A,2017,Sample_Plot#12,siteA_2017_plot_12,143,49,0.289,0.019
A,2017,Sample_Plot#14,siteA_2017_plot_14,143,49,0.289,0.019
A,2017,Sample_Plot#19,siteA_2017_plot_19,143,36,0.15,0.01
A,2010,Sample_Plot#06,siteA_2010_plot_06,142,170,4.118,0.268
A,2010,Sample_Plot#05,siteA_2010_plot_05,142,146,2.97,0.193
A,2010,Sample_Plot#05,siteA_2010_plot_05,142,138,2.632,0.171
A,2010,Sample_Plot#03,siteA_2010_plot_03,142,103,1.404,0.091
A,2017,Sample_Plot#16,siteA_2017_plot_16,142,89,1.025,0.067
A,2010,Sample_Plot#02,siteA_2010_plot_02,142,76,0.73,0.047
A,2017,Sample_Plot#19,siteA_2017_plot_19,142,59,0.423,0.027
A,2017,Sample_Plot#17,siteA_2017_plot_17,142,48,0.277,0.018
A,2010,Sample_Plot#07,siteA_2010_plot_07,141,162,3.713,0.241
A,2017,Sample_Plot#28,siteA_2017_plot_28,141,127,2.202,0.143
A,2017,Sample_Plot#16,siteA_2017_plot_16,141,99,1.289,0.084
A,2017,Sample_Plot#09,siteA_2017_plot_09,141,91,1.075,0.07
A,2017,Sample_Plot#19,siteA_2017_plot_19,141,71,0.63,0.041
A,2017,Sample_Plot#17,siteA_2017_plot_17,141,60,0.438,0.028
A,2017,Sample_Plot#19,siteA_2017_plot_19,141,49,0.289,0.019
A,2017,Sample_Plot#16,siteA_2017_plot_16,141,43,0.213,0.014
A,2017,Sample_Plot#16,siteA_2017_plot_16,140,87,0.976,0.063
A,2010,Sample_Plot#02,siteA_2010_plot_02,140,70,0.611,0.04
A,2017,Sample_Plot#14,siteA_2017_plot_14,140,66,0.538,0.035
A,2017,Sample_Plot#19,siteA_2017_plot_19,140,50,0.302,0.02
A,2010,Sample_Plot#03,siteA_2010_plot_03,139,179,4.6,0.299
A,2010,Sample_Plot#02,siteA_2010_plot_02,139,156,3.448,0.224
A,2010,Sample_Plot#03,siteA_2010_plot_03,139,114.99999999999999,1.779,0.116
A,2010,Sample_Plot#05,siteA_2010_plot_05,139,109.00000000000001,1.601,0.104
A,2010,Sample_Plot#05,siteA_2010_plot_05,139,107,1.523,0.099
A,2017,Sample_Plot#17,siteA_2017_plot_17,139,85,0.928,0.06
A,2010,Sample_Plot#05,siteA_2010_plot_05,139,84,0.905,0.059
A,2010,Sample_Plot#05,siteA_2010_plot_05,139,76,0.73,0.047
A,2017,Sample_Plot#17,siteA_2017_plot_17,139,64,0.504,0.033
A,2017,Sample_Plot#17,siteA_2017_plot_17,139,61,0.462,0.03
A,2010,Sample_Plot#01,siteA_2010_plot_01,139,31,0.109,0.007
A,2010,Sample_Plot#02,siteA_2010_plot_02,138,137,2.591,0.168
A,2017,Sample_Plot#35,siteA_2017_plot_35,138,117,1.846,0.12
A,2017,Sample_Plot#27,siteA_2017_plot_27,138,97,1.247,0.081
A,2017,Sample_Plot#16,siteA_2017_plot_16,138,51,0.315,0.02
A,2017,Sample_Plot#19,siteA_2017_plot_19,138,34,0.128,0.008
A,2010,Sample_Plot#07,siteA_2010_plot_07,137,147,3.014,0.196
A,2017,Sample_Plot#28,siteA_2017_plot_28,137,101,1.36,0.088
A,2017,Sample_Plot#19,siteA_2017_plot_19,137,73,0.669,0.043
A,2010,Sample_Plot#03,siteA_2010_plot_03,137,62,0.479,0.031
A,2017,Sample_Plot#08,siteA_2017_plot_08,137,53,0.342,0.022
A,2017,Sample_Plot#16,siteA_2017_plot_16,137,45,0.241,0.016
A,2010,Sample_Plot#02,siteA_2010_plot_02,137,42,0.208,0.014
A,2010,Sample_Plot#05,siteA_2010_plot_05,137,42,0.208,0.014
A,2017,Sample_Plot#16,siteA_2017_plot_16,137,35,0.141,0.009
A,2010,Sample_Plot#03,siteA_2010_plot_03,136,162,3.738,0.243
A,2010,Sample_Plot#03,siteA_2010_plot_03,136,122,2.037,0.132
A,2017,Sample_Plot#12,siteA_2017_plot_12,136,76,0.74,0.048
A,2017,Sample_Plot#16,siteA_2017_plot_16,136,48,0.271,0.018
A,2017,Sample_Plot#12,siteA_2017_plot_12,136,47,0.265,0.017
A,2010,Sample_Plot#03,siteA_2010_plot_03,135,193,5.437,0.353
A,2010,Sample_Plot#01,siteA_2010_plot_01,135,151,3.193,0.207
A,2017,Sample_Plot#23,siteA_2017_plot_23,135,130,2.334,0.152
A,2010,Sample_Plot#04,siteA_2010_plot_04,135,113.99999999999999,1.762,0.114
A,2010,Sample_Plot#03,siteA_2010_plot_03,135,108,1.57,0.102
A,2017,Sample_Plot#14,siteA_2017_plot_14,135,92,1.101,0.072
A,2010,Sample_Plot#02,siteA_2010_plot_02,135,80,0.826,0.054
A,2017,Sample_Plot#14,siteA_2017_plot_14,135,73,0.679,0.044
A,2010,Sample_Plot#07,siteA_2010_plot_07,135,70,0.611,0.04
A,2017,Sample_Plot#17,siteA_2017_plot_17,135,67,0.556,0.036
A,2017,Sample_Plot#17,siteA_2017_plot_17,135,61,0.454,0.03
A,2017,Sample_Plot#19,siteA_2017_plot_19,135,47,0.259,0.017
A,2017,Sample_Plot#17,siteA_2017_plot_17,135,45,0.241,0.016
A,2017,Sample_Plot#19,siteA_2017_plot_19,135,36,0.15,0.01
A,2017,Sample_Plot#19,siteA_2017_plot_19,135,30,0.098,0.006
A,2017,Sample_Plot#17,siteA_2017_plot_17,134,62,0.47,0.031
A,2017,Sample_Plot#12,siteA_2017_plot_12,134,59,0.43,0.028
A,2017,Sample_Plot#19,siteA_2017_plot_19,134,55.00000000000001,0.363,0.024
A,2017,Sample_Plot#17,siteA_2017_plot_17,133,89,1.037,0.067
A,2017,Sample_Plot#14,siteA_2017_plot_14,133,66,0.547,0.036
A,2017,Sample_Plot#16,siteA_2017_plot_16,133,49,0.283,0.018
A,2017,Sample_Plot#14,siteA_2017_plot_14,132,96,1.206,0.078
A,2017,Sample_Plot#14,siteA_2017_plot_14,132,88,1,0.065
A,2010,Sample_Plot#03,siteA_2010_plot_03,132,68,0.574,0.037
A,2010,Sample_Plot#07,siteA_2010_plot_07,132,65,0.53,0.034
A,2017,Sample_Plot#14,siteA_2017_plot_14,132,56.00000000000001,0.378,0.025
A,2017,Sample_Plot#14,siteA_2017_plot_14,132,53,0.335,0.022
A,2017,Sample_Plot#19,siteA_2017_plot_19,132,45,0.235,0.015
A,2010,Sample_Plot#05,siteA_2010_plot_05,131,167,3.989,0.259
A,2017,Sample_Plot#09,siteA_2017_plot_09,131,81,0.837,0.054
A,2017,Sample_Plot#08,siteA_2017_plot_08,131,68,0.583,0.038
A,2017,Sample_Plot#16,siteA_2017_plot_16,131,66,0.538,0.035
A,2017,Sample_Plot#16,siteA_2017_plot_16,131,63,0.487,0.032
A,2017,Sample_Plot#17,siteA_2017_plot_17,131,56.99999999999999,0.392,0.025
A,2017,Sample_Plot#17,siteA_2017_plot_17,131,54,0.349,0.023
A,2010,Sample_Plot#06,siteA_2010_plot_06,130,151,3.193,0.207
A,2010,Sample_Plot#07,siteA_2010_plot_07,130,128,2.258,0.147
A,2017,Sample_Plot#13,siteA_2017_plot_13,130,109.00000000000001,1.601,0.104
A,2010,Sample_Plot#05,siteA_2010_plot_05,130,105,1.463,0.095
A,2017,Sample_Plot#16,siteA_2017_plot_16,130,91,1.088,0.071
A,2010,Sample_Plot#06,siteA_2010_plot_06,130,90,1.063,0.069
A,2010,Sample_Plot#05,siteA_2010_plot_05,130,87,0.988,0.064
A,2017,Sample_Plot#16,siteA_2017_plot_16,130,84,0.917,0.06
A,2010,Sample_Plot#03,siteA_2010_plot_03,130,80,0.826,0.054
A,2017,Sample_Plot#17,siteA_2017_plot_17,130,78,0.772,0.05
A,2017,Sample_Plot#16,siteA_2017_plot_16,130,75,0.719,0.047
A,2017,Sample_Plot#16,siteA_2017_plot_16,130,70,0.621,0.04
A,2017,Sample_Plot#16,siteA_2017_plot_16,130,69,0.602,0.039
A,2010,Sample_Plot#05,siteA_2010_plot_05,130,62,0.479,0.031
A,2017,Sample_Plot#19,siteA_2017_plot_19,130,62,0.479,0.031
A,2017,Sample_Plot#12,siteA_2017_plot_12,130,61,0.454,0.03
A,2017,Sample_Plot#12,siteA_2017_plot_12,130,56.00000000000001,0.378,0.025
A,2017,Sample_Plot#09,siteA_2017_plot_09,130,49,0.283,0.018
A,2017,Sample_Plot#12,siteA_2017_plot_12,130,45,0.235,0.015
A,2017,Sample_Plot#16,siteA_2017_plot_16,130,42,0.203,0.013
A,2017,Sample_Plot#19,siteA_2017_plot_19,130,41,0.198,0.013
A,2017,Sample_Plot#17,siteA_2017_plot_17,130,37,0.159,0.01
A,2017,Sample_Plot#08,siteA_2017_plot_08,130,32,0.116,0.008
A,2017,Sample_Plot#19,siteA_2017_plot_19,130,31,0.105,0.007
A,2017,Sample_Plot#19,siteA_2017_plot_19,130,30,0.101,0.007
A,2017,Sample_Plot#19,siteA_2017_plot_19,130,23,0.057,0.004
A,2017,Sample_Plot#09,siteA_2017_plot_09,129,101,1.36,0.088
A,2010,Sample_Plot#02,siteA_2010_plot_02,129,76,0.73,0.047
A,2017,Sample_Plot#08,siteA_2017_plot_08,129,65,0.53,0.034
A,2017,Sample_Plot#17,siteA_2017_plot_17,129,64,0.512,0.033
A,2010,Sample_Plot#05,siteA_2010_plot_05,129,55.00000000000001,0.363,0.024
A,2017,Sample_Plot#09,siteA_2017_plot_09,129,52,0.328,0.021
A,2017,Sample_Plot#35,siteA_2017_plot_35,128,108,1.554,0.101
A,2017,Sample_Plot#08,siteA_2017_plot_08,128,106,1.493,0.097
A,2017,Sample_Plot#14,siteA_2017_plot_14,128,104,1.448,0.094
A,2017,Sample_Plot#16,siteA_2017_plot_16,128,89,1.037,0.067
A,2010,Sample_Plot#05,siteA_2010_plot_05,128,87,0.988,0.064
A,2017,Sample_Plot#09,siteA_2017_plot_09,128,87,0.976,0.063
A,2017,Sample_Plot#09,siteA_2017_plot_09,128,76,0.73,0.047
A,2010,Sample_Plot#02,siteA_2010_plot_02,128,73,0.669,0.043
A,2017,Sample_Plot#12,siteA_2017_plot_12,128,62,0.479,0.031
A,2017,Sample_Plot#16,siteA_2017_plot_16,128,54,0.349,0.023
A,2017,Sample_Plot#12,siteA_2017_plot_12,128,50,0.296,0.019
A,2010,Sample_Plot#05,siteA_2010_plot_05,128,45,0.241,0.016
A,2017,Sample_Plot#09,siteA_2017_plot_09,128,43,0.213,0.014
A,2010,Sample_Plot#05,siteA_2010_plot_05,127,146,2.992,0.194
A,2010,Sample_Plot#02,siteA_2010_plot_02,127,145,2.948,0.192
A,2010,Sample_Plot#06,siteA_2010_plot_06,127,117,1.846,0.12
A,2017,Sample_Plot#09,siteA_2017_plot_09,127,80,0.815,0.053
A,2017,Sample_Plot#09,siteA_2017_plot_09,127,78,0.782,0.051
A,2017,Sample_Plot#16,siteA_2017_plot_16,127,75,0.719,0.047
A,2010,Sample_Plot#04,siteA_2010_plot_04,127,67,0.556,0.036
A,2017,Sample_Plot#08,siteA_2017_plot_08,127,61,0.462,0.03
A,2017,Sample_Plot#12,siteA_2017_plot_12,127,60,0.446,0.029
A,2017,Sample_Plot#16,siteA_2017_plot_16,127,59,0.43,0.028
A,2017,Sample_Plot#23,siteA_2017_plot_23,127,59,0.423,0.027
A,2017,Sample_Plot#08,siteA_2017_plot_08,127,53,0.342,0.022
A,2017,Sample_Plot#12,siteA_2017_plot_12,127,53,0.335,0.022
A,2017,Sample_Plot#16,siteA_2017_plot_16,127,41,0.198,0.013
A,2017,Sample_Plot#16,siteA_2017_plot_16,127,40,0.187,0.012
A,2017,Sample_Plot#12,siteA_2017_plot_12,127,37,0.159,0.01
A,2017,Sample_Plot#19,siteA_2017_plot_19,127,23,0.055,0.004
A,2010,Sample_Plot#05,siteA_2010_plot_05,126,153,3.284,0.213
A,2010,Sample_Plot#01,siteA_2010_plot_01,126,129,2.277,0.148
A,2010,Sample_Plot#01,siteA_2010_plot_01,126,100,1.331,0.086
A,2017,Sample_Plot#12,siteA_2017_plot_12,126,85,0.928,0.06
A,2017,Sample_Plot#16,siteA_2017_plot_16,126,76,0.73,0.047
A,2010,Sample_Plot#04,siteA_2010_plot_04,126,66,0.547,0.036
A,2017,Sample_Plot#17,siteA_2017_plot_17,126,65,0.53,0.034
A,2010,Sample_Plot#05,siteA_2010_plot_05,126,64,0.512,0.033
A,2017,Sample_Plot#23,siteA_2017_plot_23,126,62,0.47,0.031
A,2017,Sample_Plot#16,siteA_2017_plot_16,126,61,0.462,0.03
A,2017,Sample_Plot#14,siteA_2017_plot_14,126,50,0.296,0.019
A,2017,Sample_Plot#12,siteA_2017_plot_12,126,47,0.259,0.017
A,2017,Sample_Plot#19,siteA_2017_plot_19,126,40,0.182,0.012
A,2017,Sample_Plot#08,siteA_2017_plot_08,126,38,0.163,0.011
A,2017,Sample_Plot#19,siteA_2017_plot_19,125,129,2.296,0.149
A,2010,Sample_Plot#06,siteA_2010_plot_06,125,101,1.346,0.087
A,2017,Sample_Plot#14,siteA_2017_plot_14,125,93,1.14,0.074
A,2010,Sample_Plot#02,siteA_2010_plot_02,125,92,1.101,0.072
A,2017,Sample_Plot#09,siteA_2017_plot_09,125,87,0.976,0.063
A,2010,Sample_Plot#02,siteA_2010_plot_02,125,85,0.94,0.061
A,2010,Sample_Plot#03,siteA_2010_plot_03,125,81,0.848,0.055
A,2017,Sample_Plot#09,siteA_2017_plot_09,125,79,0.793,0.052
A,2017,Sample_Plot#14,siteA_2017_plot_14,125,71,0.63,0.041
A,2017,Sample_Plot#12,siteA_2017_plot_12,125,70,0.621,0.04
A,2017,Sample_Plot#14,siteA_2017_plot_14,125,68,0.574,0.037
A,2017,Sample_Plot#29,siteA_2017_plot_29,125,67,0.565,0.037
A,2017,Sample_Plot#08,siteA_2017_plot_08,125,67,0.556,0.036
A,2017,Sample_Plot#09,siteA_2017_plot_09,125,62,0.47,0.031
A,2017,Sample_Plot#28,siteA_2017_plot_28,125,60,0.446,0.029
A,2017,Sample_Plot#17,siteA_2017_plot_17,125,55.00000000000001,0.37,0.024
A,2010,Sample_Plot#02,siteA_2010_plot_02,125,54,0.349,0.023
A,2017,Sample_Plot#19,siteA_2017_plot_19,125,51,0.315,0.02
A,2017,Sample_Plot#19,siteA_2017_plot_19,125,51,0.309,0.02
A,2017,Sample_Plot#09,siteA_2017_plot_09,125,42,0.203,0.013
A,2017,Sample_Plot#09,siteA_2017_plot_09,125,40,0.187,0.012
A,2017,Sample_Plot#19,siteA_2017_plot_19,125,34,0.128,0.008
A,2017,Sample_Plot#09,siteA_2017_plot_09,125,32,0.112,0.007
A,2010,Sample_Plot#02,siteA_2010_plot_02,124,118,1.897,0.123
A,2017,Sample_Plot#08,siteA_2017_plot_08,124,80,0.826,0.054
A,2017,Sample_Plot#14,siteA_2017_plot_14,124,68,0.574,0.037
A,2017,Sample_Plot#19,siteA_2017_plot_19,124,68,0.574,0.037
A,2017,Sample_Plot#19,siteA_2017_plot_19,124,56.99999999999999,0.392,0.025
A,2017,Sample_Plot#16,siteA_2017_plot_16,124,53,0.342,0.022
A,2017,Sample_Plot#16,siteA_2017_plot_16,124,51,0.309,0.02
A,2017,Sample_Plot#14,siteA_2017_plot_14,124,49,0.289,0.019
A,2017,Sample_Plot#17,siteA_2017_plot_17,124,39,0.177,0.012
A,2017,Sample_Plot#19,siteA_2017_plot_19,124,35,0.137,0.009
A,2017,Sample_Plot#19,siteA_2017_plot_19,124,35,0.137,0.009
A,2010,Sample_Plot#05,siteA_2010_plot_05,123,102,1.389,0.09
A,2010,Sample_Plot#07,siteA_2010_plot_07,123,90,1.05,0.068
A,2017,Sample_Plot#12,siteA_2017_plot_12,123,87,0.988,0.064
A,2017,Sample_Plot#08,siteA_2017_plot_08,123,72,0.659,0.043
A,2017,Sample_Plot#09,siteA_2017_plot_09,123,64,0.504,0.033
A,2017,Sample_Plot#17,siteA_2017_plot_17,123,64,0.504,0.033
A,2017,Sample_Plot#08,siteA_2017_plot_08,123,62,0.479,0.031
A,2017,Sample_Plot#19,siteA_2017_plot_19,123,60,0.438,0.028
A,2017,Sample_Plot#19,siteA_2017_plot_19,123,57.99999999999999,0.415,0.027
A,2017,Sample_Plot#16,siteA_2017_plot_16,123,52,0.328,0.021
A,2010,Sample_Plot#02,siteA_2010_plot_02,123,50,0.302,0.02
A,2017,Sample_Plot#09,siteA_2017_plot_09,123,50,0.302,0.02
A,2017,Sample_Plot#08,siteA_2017_plot_08,123,48,0.271,0.018
A,2017,Sample_Plot#16,siteA_2017_plot_16,123,44,0.224,0.015
A,2017,Sample_Plot#12,siteA_2017_plot_12,123,39,0.177,0.012
A,2017,Sample_Plot#35,siteA_2017_plot_35,122,227.99999999999997,7.73,0.502
A,2010,Sample_Plot#07,siteA_2010_plot_07,122,112.99999999999999,1.713,0.111
A,2017,Sample_Plot#09,siteA_2017_plot_09,122,101,1.346,0.087
A,2017,Sample_Plot#14,siteA_2017_plot_14,122,96,1.22,0.079
